funcid,dim,milestone,error
29,50,1,4.013963e+03
29,50,2,4.013963e+03
29,50,3,4.013963e+03
29,50,5,4.013963e+03
29,50,10,4.013963e+03
29,50,20,3.368337e+03
29,50,30,3.203414e+03
29,50,40,3.203414e+03
29,50,50,3.203414e+03
29,50,60,3.203414e+03
29,50,70,3.203414e+03
29,50,80,3.203414e+03
29,50,90,3.203414e+03
29,50,100,3.177402e+03
29,50,1,4.256126e+03
29,50,2,2.966352e+03
29,50,3,2.966352e+03
29,50,5,2.966352e+03
29,50,10,2.966352e+03
29,50,20,2.966352e+03
29,50,30,2.966352e+03
29,50,40,2.966352e+03
29,50,50,2.611992e+03
29,50,60,2.611992e+03
29,50,70,2.611992e+03
29,50,80,2.611992e+03
29,50,90,2.611992e+03
29,50,100,2.611992e+03
29,50,1,1.553438e+04
29,50,2,6.017422e+03
29,50,3,6.017422e+03
29,50,5,3.829615e+03
29,50,10,3.829615e+03
29,50,20,2.931666e+03
29,50,30,2.842109e+03
29,50,40,2.842109e+03
29,50,50,2.842109e+03
29,50,60,2.842109e+03
29,50,70,2.842109e+03
29,50,80,2.842109e+03
29,50,90,2.842109e+03
29,50,100,2.816834e+03
29,50,1,8.252004e+03
29,50,2,8.252004e+03
29,50,3,4.560016e+03
29,50,5,3.137805e+03
29,50,10,3.137805e+03
29,50,20,3.137805e+03
29,50,30,3.137805e+03
29,50,40,3.137805e+03
29,50,50,2.943487e+03
29,50,60,2.943487e+03
29,50,70,2.943487e+03
29,50,80,2.943487e+03
29,50,90,2.943487e+03
29,50,100,2.943487e+03
29,50,1,4.883258e+03
29,50,2,4.883258e+03
29,50,3,4.883258e+03
29,50,5,4.883258e+03
29,50,10,4.372394e+03
29,50,20,3.601275e+03
29,50,30,3.601275e+03
29,50,40,3.081341e+03
29,50,50,3.056723e+03
29,50,60,3.056723e+03
29,50,70,3.056723e+03
29,50,80,3.056723e+03
29,50,90,3.056723e+03
29,50,100,2.947018e+03
29,50,1,9.256152e+03
29,50,2,7.636894e+03
29,50,3,4.618675e+03
29,50,5,4.618675e+03
29,50,10,4.502692e+03
29,50,20,3.522908e+03
29,50,30,3.473835e+03
29,50,40,3.473835e+03
29,50,50,3.353240e+03
29,50,60,3.353240e+03
29,50,70,3.353240e+03
29,50,80,3.076204e+03
29,50,90,2.595553e+03
29,50,100,2.595553e+03
29,50,1,1.448272e+04
29,50,2,6.082373e+03
29,50,3,5.788582e+03
29,50,5,4.034113e+03
29,50,10,3.886453e+03
29,50,20,3.175187e+03
29,50,30,2.614681e+03
29,50,40,2.614681e+03
29,50,50,2.614681e+03
29,50,60,2.614681e+03
29,50,70,2.614681e+03
29,50,80,2.614681e+03
29,50,90,2.614681e+03
29,50,100,2.614681e+03
29,50,1,1.021615e+04
29,50,2,8.825072e+03
29,50,3,4.750355e+03
29,50,5,4.750355e+03
29,50,10,3.826095e+03
29,50,20,3.488510e+03
29,50,30,2.750133e+03
29,50,40,2.750133e+03
29,50,50,2.750133e+03
29,50,60,2.750133e+03
29,50,70,2.750133e+03
29,50,80,2.750133e+03
29,50,90,2.750133e+03
29,50,100,2.750133e+03
29,50,1,1.417061e+04
29,50,2,6.299838e+03
29,50,3,5.367129e+03
29,50,5,4.972517e+03
29,50,10,3.839970e+03
29,50,20,3.239195e+03
29,50,30,3.239195e+03
29,50,40,2.806971e+03
29,50,50,2.806971e+03
29,50,60,2.806971e+03
29,50,70,2.577800e+03
29,50,80,2.577800e+03
29,50,90,2.577800e+03
29,50,100,2.577800e+03
29,50,1,8.321378e+03
29,50,2,5.160714e+03
29,50,3,5.160714e+03
29,50,5,4.899725e+03
29,50,10,4.316586e+03
29,50,20,3.710428e+03
29,50,30,2.936124e+03
29,50,40,2.936124e+03
29,50,50,2.936124e+03
29,50,60,2.936124e+03
29,50,70,2.936124e+03
29,50,80,2.936124e+03
29,50,90,2.697470e+03
29,50,100,2.697470e+03
