funcid,dim,milestone,error
4,30,1,3.093674e+03
4,30,2,1.505209e+03
4,30,3,1.505209e+03
4,30,5,1.505209e+03
4,30,10,1.505209e+03
4,30,20,1.505209e+03
4,30,30,1.505209e+03
4,30,40,1.505209e+03
4,30,50,1.448395e+03
4,30,60,1.448395e+03
4,30,70,1.448395e+03
4,30,80,1.448395e+03
4,30,90,1.389564e+03
4,30,100,1.389564e+03
4,30,1,3.093674e+03
4,30,2,1.678168e+03
4,30,3,1.678168e+03
4,30,5,1.678168e+03
4,30,10,1.678168e+03
4,30,20,1.678168e+03
4,30,30,1.678168e+03
4,30,40,1.678168e+03
4,30,50,1.596729e+03
4,30,60,1.082540e+03
4,30,70,1.082540e+03
4,30,80,1.082540e+03
4,30,90,1.082540e+03
4,30,100,1.082540e+03
4,30,1,3.093674e+03
4,30,2,1.680748e+03
4,30,3,1.680748e+03
4,30,5,1.680748e+03
4,30,10,1.680748e+03
4,30,20,1.680748e+03
4,30,30,1.680748e+03
4,30,40,1.680748e+03
4,30,50,7.397802e+02
4,30,60,7.397802e+02
4,30,70,7.397802e+02
4,30,80,7.397802e+02
4,30,90,7.397802e+02
4,30,100,7.397802e+02
4,30,1,3.093674e+03
4,30,2,1.997760e+03
4,30,3,1.997760e+03
4,30,5,1.997760e+03
4,30,10,1.997760e+03
4,30,20,1.997760e+03
4,30,30,1.997760e+03
4,30,40,1.568937e+03
4,30,50,7.518637e+02
4,30,60,7.518637e+02
4,30,70,7.518637e+02
4,30,80,7.518637e+02
4,30,90,7.518637e+02
4,30,100,7.518637e+02
4,30,1,3.093674e+03
4,30,2,3.093674e+03
4,30,3,2.530484e+03
4,30,5,2.255639e+03
4,30,10,2.103105e+03
4,30,20,1.540776e+03
4,30,30,1.370798e+03
4,30,40,1.370798e+03
4,30,50,1.341204e+03
4,30,60,1.134725e+03
4,30,70,1.134725e+03
4,30,80,1.134725e+03
4,30,90,1.036763e+03
4,30,100,1.036763e+03
4,30,1,3.093674e+03
4,30,2,2.196748e+03
4,30,3,2.196748e+03
4,30,5,2.196748e+03
4,30,10,1.582295e+03
4,30,20,1.459119e+03
4,30,30,1.459119e+03
4,30,40,1.459119e+03
4,30,50,1.399117e+03
4,30,60,1.399117e+03
4,30,70,1.048440e+03
4,30,80,1.048440e+03
4,30,90,1.048440e+03
4,30,100,1.048440e+03
4,30,1,3.093674e+03
4,30,2,2.767666e+03
4,30,3,2.767666e+03
4,30,5,2.702866e+03
4,30,10,2.341171e+03
4,30,20,1.040514e+03
4,30,30,1.040514e+03
4,30,40,1.040514e+03
4,30,50,1.040514e+03
4,30,60,1.040514e+03
4,30,70,1.040514e+03
4,30,80,1.040514e+03
4,30,90,1.040514e+03
4,30,100,1.040514e+03
4,30,1,3.093674e+03
4,30,2,2.441861e+03
4,30,3,2.441861e+03
4,30,5,2.441861e+03
4,30,10,2.441861e+03
4,30,20,1.790539e+03
4,30,30,1.776348e+03
4,30,40,1.642274e+03
4,30,50,1.595985e+03
4,30,60,1.356667e+03
4,30,70,1.161820e+03
4,30,80,1.161820e+03
4,30,90,1.161820e+03
4,30,100,1.161820e+03
4,30,1,3.093674e+03
4,30,2,3.093674e+03
4,30,3,3.093674e+03
4,30,5,2.080009e+03
4,30,10,2.050861e+03
4,30,20,1.797507e+03
4,30,30,1.797507e+03
4,30,40,1.589036e+03
4,30,50,1.320426e+03
4,30,60,1.320426e+03
4,30,70,1.301410e+03
4,30,80,1.301410e+03
4,30,90,1.301410e+03
4,30,100,1.301410e+03
4,30,1,3.093674e+03
4,30,2,3.023292e+03
4,30,3,2.895870e+03
4,30,5,1.811332e+03
4,30,10,1.811332e+03
4,30,20,1.497361e+03
4,30,30,1.497361e+03
4,30,40,1.497361e+03
4,30,50,1.497361e+03
4,30,60,9.576533e+02
4,30,70,9.576533e+02
4,30,80,9.576533e+02
4,30,90,9.576533e+02
4,30,100,9.576533e+02
