funcid,dim,milestone,error
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.299786e+02
4,30,30,1.299786e+02
4,30,40,1.299786e+02
4,30,50,1.299786e+02
4,30,60,1.299786e+02
4,30,70,1.299786e+02
4,30,80,1.299786e+02
4,30,90,1.299786e+02
4,30,100,1.299786e+02
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.299786e+02
4,30,30,1.299786e+02
4,30,40,1.299786e+02
4,30,50,1.299786e+02
4,30,60,1.299786e+02
4,30,70,1.299786e+02
4,30,80,1.299786e+02
4,30,90,1.299786e+02
4,30,100,1.299786e+02
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.215389e+02
4,30,30,1.215389e+02
4,30,40,1.215389e+02
4,30,50,1.215389e+02
4,30,60,1.215389e+02
4,30,70,1.215389e+02
4,30,80,1.215389e+02
4,30,90,1.215389e+02
4,30,100,1.215389e+02
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.269449e+02
4,30,30,1.269449e+02
4,30,40,1.269449e+02
4,30,50,1.269449e+02
4,30,60,1.269449e+02
4,30,70,1.269449e+02
4,30,80,1.269449e+02
4,30,90,1.269449e+02
4,30,100,1.269449e+02
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.299786e+02
4,30,30,1.299786e+02
4,30,40,1.299786e+02
4,30,50,1.299786e+02
4,30,60,1.299786e+02
4,30,70,1.299786e+02
4,30,80,1.299786e+02
4,30,90,1.299786e+02
4,30,100,1.299786e+02
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,7.666985e+01
4,30,30,7.666985e+01
4,30,40,7.666985e+01
4,30,50,7.666985e+01
4,30,60,7.666985e+01
4,30,70,7.666985e+01
4,30,80,7.666985e+01
4,30,90,7.666985e+01
4,30,100,7.666985e+01
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.299786e+02
4,30,30,1.299786e+02
4,30,40,1.299786e+02
4,30,50,1.299786e+02
4,30,60,1.299786e+02
4,30,70,1.299786e+02
4,30,80,1.299786e+02
4,30,90,1.299786e+02
4,30,100,1.299786e+02
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.299786e+02
4,30,30,1.299786e+02
4,30,40,1.299786e+02
4,30,50,1.299786e+02
4,30,60,1.299786e+02
4,30,70,1.299786e+02
4,30,80,1.299786e+02
4,30,90,1.299786e+02
4,30,100,1.299786e+02
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.195274e+02
4,30,30,1.187156e+02
4,30,40,1.187156e+02
4,30,50,1.187156e+02
4,30,60,1.187156e+02
4,30,70,1.187156e+02
4,30,80,1.187156e+02
4,30,90,1.187156e+02
4,30,100,1.187156e+02
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.299786e+02
4,30,30,1.299786e+02
4,30,40,1.299786e+02
4,30,50,1.299786e+02
4,30,60,1.299786e+02
4,30,70,1.299786e+02
4,30,80,1.299786e+02
4,30,90,1.299786e+02
4,30,100,1.299786e+02
