funcid,dim,milestone,error
22,10,1,1.357988e+02
22,10,2,1.249373e+02
22,10,3,1.172456e+02
22,10,5,1.172456e+02
22,10,10,1.172456e+02
22,10,20,1.128554e+02
22,10,30,1.128554e+02
22,10,40,1.128554e+02
22,10,50,1.128554e+02
22,10,60,1.128554e+02
22,10,70,1.128554e+02
22,10,80,1.128554e+02
22,10,90,1.128554e+02
22,10,100,1.111523e+02
22,10,1,1.258294e+02
22,10,2,1.218575e+02
22,10,3,1.218575e+02
22,10,5,1.218575e+02
22,10,10,1.218575e+02
22,10,20,1.218575e+02
22,10,30,1.193358e+02
22,10,40,1.159593e+02
22,10,50,1.138111e+02
22,10,60,1.084844e+02
22,10,70,1.084844e+02
22,10,80,9.293415e+01
22,10,90,9.293415e+01
22,10,100,9.293415e+01
22,10,1,1.672504e+02
22,10,2,1.240375e+02
22,10,3,1.214618e+02
22,10,5,1.214618e+02
22,10,10,1.214618e+02
22,10,20,1.214618e+02
22,10,30,1.150082e+02
22,10,40,1.150082e+02
22,10,50,1.142404e+02
22,10,60,1.142404e+02
22,10,70,9.213918e+01
22,10,80,9.213918e+01
22,10,90,8.303539e+01
22,10,100,8.303539e+01
22,10,1,1.556843e+02
22,10,2,1.206638e+02
22,10,3,1.203070e+02
22,10,5,1.200331e+02
22,10,10,1.200331e+02
22,10,20,1.200331e+02
22,10,30,1.137238e+02
22,10,40,6.979909e+01
22,10,50,6.979909e+01
22,10,60,6.979909e+01
22,10,70,6.979909e+01
22,10,80,6.979909e+01
22,10,90,6.979909e+01
22,10,100,6.979909e+01
22,10,1,1.269453e+02
22,10,2,1.235349e+02
22,10,3,1.215238e+02
22,10,5,1.185042e+02
22,10,10,1.184221e+02
22,10,20,9.717110e+01
22,10,30,7.766868e+01
22,10,40,6.528419e+01
22,10,50,6.528419e+01
22,10,60,6.528419e+01
22,10,70,6.528419e+01
22,10,80,6.528419e+01
22,10,90,6.528419e+01
22,10,100,6.528419e+01
22,10,1,1.695174e+02
22,10,2,1.388957e+02
22,10,3,1.329848e+02
22,10,5,1.309627e+02
22,10,10,1.309627e+02
22,10,20,1.206617e+02
22,10,30,1.140704e+02
22,10,40,1.140704e+02
22,10,50,8.518222e+01
22,10,60,8.518222e+01
22,10,70,8.518222e+01
22,10,80,8.518222e+01
22,10,90,6.415688e+01
22,10,100,6.415688e+01
22,10,1,1.695234e+02
22,10,2,1.273668e+02
22,10,3,1.246397e+02
22,10,5,1.246397e+02
22,10,10,1.246397e+02
22,10,20,1.234760e+02
22,10,30,1.195366e+02
22,10,40,6.841927e+01
22,10,50,6.841927e+01
22,10,60,6.841927e+01
22,10,70,6.841927e+01
22,10,80,6.841927e+01
22,10,90,6.841927e+01
22,10,100,6.841927e+01
22,10,1,1.425864e+02
22,10,2,1.288987e+02
22,10,3,1.255356e+02
22,10,5,1.179425e+02
22,10,10,1.179425e+02
22,10,20,1.158679e+02
22,10,30,1.158679e+02
22,10,40,7.701786e+01
22,10,50,7.701786e+01
22,10,60,7.517266e+01
22,10,70,7.517266e+01
22,10,80,7.517266e+01
22,10,90,7.517266e+01
22,10,100,6.926156e+01
22,10,1,1.587826e+02
22,10,2,1.329519e+02
22,10,3,1.252996e+02
22,10,5,1.184817e+02
22,10,10,1.184817e+02
22,10,20,1.181341e+02
22,10,30,1.161075e+02
22,10,40,1.161075e+02
22,10,50,8.058778e+01
22,10,60,8.058778e+01
22,10,70,6.939056e+01
22,10,80,6.939056e+01
22,10,90,6.939056e+01
22,10,100,6.939056e+01
22,10,1,1.589441e+02
22,10,2,1.486586e+02
22,10,3,1.339206e+02
22,10,5,1.339206e+02
22,10,10,1.200350e+02
22,10,20,1.155549e+02
22,10,30,1.155549e+02
22,10,40,4.838149e+01
22,10,50,4.838149e+01
22,10,60,4.838149e+01
22,10,70,4.838149e+01
22,10,80,4.838149e+01
22,10,90,4.838149e+01
22,10,100,4.838149e+01
