funcid,dim,milestone,error
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,7.633626e+06
18,50,30,7.633626e+06
18,50,40,7.633626e+06
18,50,50,7.633626e+06
18,50,60,7.633626e+06
18,50,70,7.633626e+06
18,50,80,7.633626e+06
18,50,90,7.633626e+06
18,50,100,7.633626e+06
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,7.133479e+06
18,50,30,7.133479e+06
18,50,40,7.133479e+06
18,50,50,7.133479e+06
18,50,60,7.133479e+06
18,50,70,7.133479e+06
18,50,80,7.133479e+06
18,50,90,7.133479e+06
18,50,100,7.133479e+06
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,6.324278e+06
18,50,30,6.324278e+06
18,50,40,6.324278e+06
18,50,50,6.324278e+06
18,50,60,6.324278e+06
18,50,70,6.324278e+06
18,50,80,6.324278e+06
18,50,90,6.324278e+06
18,50,100,6.324278e+06
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,3.192056e+06
18,50,30,3.192056e+06
18,50,40,3.192056e+06
18,50,50,3.192056e+06
18,50,60,3.192056e+06
18,50,70,3.192056e+06
18,50,80,3.192056e+06
18,50,90,3.192056e+06
18,50,100,3.192056e+06
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,3.341085e+06
18,50,30,3.341085e+06
18,50,40,3.341085e+06
18,50,50,3.341085e+06
18,50,60,3.341085e+06
18,50,70,3.341085e+06
18,50,80,3.341085e+06
18,50,90,3.341085e+06
18,50,100,3.341085e+06
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,1.076005e+07
18,50,30,6.302502e+06
18,50,40,6.302502e+06
18,50,50,6.302502e+06
18,50,60,6.302502e+06
18,50,70,6.302502e+06
18,50,80,6.302502e+06
18,50,90,6.302502e+06
18,50,100,6.302502e+06
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,2.115718e+06
18,50,30,2.115718e+06
18,50,40,2.115718e+06
18,50,50,2.115718e+06
18,50,60,2.115718e+06
18,50,70,2.115718e+06
18,50,80,2.115718e+06
18,50,90,2.115718e+06
18,50,100,2.115718e+06
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,9.260253e+06
18,50,30,5.108913e+06
18,50,40,5.108913e+06
18,50,50,5.108913e+06
18,50,60,5.108913e+06
18,50,70,5.108913e+06
18,50,80,5.108913e+06
18,50,90,5.108913e+06
18,50,100,5.108913e+06
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,3.024583e+06
18,50,30,2.055834e+06
18,50,40,2.055834e+06
18,50,50,2.055834e+06
18,50,60,2.055834e+06
18,50,70,2.055834e+06
18,50,80,2.055834e+06
18,50,90,2.055834e+06
18,50,100,2.055834e+06
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,5.741626e+06
18,50,30,3.987104e+06
18,50,40,3.987104e+06
18,50,50,3.987104e+06
18,50,60,3.987104e+06
18,50,70,3.987104e+06
18,50,80,3.987104e+06
18,50,90,3.987104e+06
18,50,100,3.987104e+06
