funcid,dim,milestone,error
3,50,1,3.315346e+05
3,50,2,3.315345e+05
3,50,3,3.313443e+05
3,50,5,3.313443e+05
3,50,10,3.308521e+05
3,50,20,2.794791e+05
3,50,30,2.794791e+05
3,50,40,2.325199e+05
3,50,50,2.325199e+05
3,50,60,2.154312e+05
3,50,70,2.154312e+05
3,50,80,2.154312e+05
3,50,90,2.154312e+05
3,50,100,2.154312e+05
3,50,1,3.315346e+05
3,50,2,3.315345e+05
3,50,3,3.313443e+05
3,50,5,3.313443e+05
3,50,10,3.308521e+05
3,50,20,2.685353e+05
3,50,30,2.685353e+05
3,50,40,2.255468e+05
3,50,50,2.255468e+05
3,50,60,2.080087e+05
3,50,70,2.065792e+05
3,50,80,2.065792e+05
3,50,90,1.975084e+05
3,50,100,1.975084e+05
3,50,1,3.315346e+05
3,50,2,3.315345e+05
3,50,3,3.313443e+05
3,50,5,3.313443e+05
3,50,10,3.308521e+05
3,50,20,2.871435e+05
3,50,30,2.677185e+05
3,50,40,2.677185e+05
3,50,50,2.566543e+05
3,50,60,2.566543e+05
3,50,70,2.411696e+05
3,50,80,2.120666e+05
3,50,90,2.120666e+05
3,50,100,2.120666e+05
3,50,1,3.315346e+05
3,50,2,3.315345e+05
3,50,3,3.313443e+05
3,50,5,3.313443e+05
3,50,10,3.308521e+05
3,50,20,3.008934e+05
3,50,30,3.008934e+05
3,50,40,2.880125e+05
3,50,50,2.406103e+05
3,50,60,2.070745e+05
3,50,70,2.070745e+05
3,50,80,2.070745e+05
3,50,90,2.070745e+05
3,50,100,2.070745e+05
3,50,1,3.315346e+05
3,50,2,3.315345e+05
3,50,3,3.313443e+05
3,50,5,3.313443e+05
3,50,10,3.308521e+05
3,50,20,3.308521e+05
3,50,30,2.026939e+05
3,50,40,2.026939e+05
3,50,50,2.026939e+05
3,50,60,1.965057e+05
3,50,70,1.965057e+05
3,50,80,1.965057e+05
3,50,90,1.965057e+05
3,50,100,1.965057e+05
3,50,1,3.315346e+05
3,50,2,3.315345e+05
3,50,3,3.313443e+05
3,50,5,3.313443e+05
3,50,10,3.308521e+05
3,50,20,2.923482e+05
3,50,30,2.923482e+05
3,50,40,2.390693e+05
3,50,50,2.390693e+05
3,50,60,2.390693e+05
3,50,70,2.356977e+05
3,50,80,2.356977e+05
3,50,90,1.961458e+05
3,50,100,1.961458e+05
3,50,1,3.315346e+05
3,50,2,3.315345e+05
3,50,3,3.313443e+05
3,50,5,3.313443e+05
3,50,10,3.308521e+05
3,50,20,3.279976e+05
3,50,30,3.149013e+05
3,50,40,2.558932e+05
3,50,50,2.454817e+05
3,50,60,1.905311e+05
3,50,70,1.905311e+05
3,50,80,1.905311e+05
3,50,90,1.905311e+05
3,50,100,1.905311e+05
3,50,1,3.315346e+05
3,50,2,3.315345e+05
3,50,3,3.313443e+05
3,50,5,3.313443e+05
3,50,10,3.308521e+05
3,50,20,2.853590e+05
3,50,30,2.510669e+05
3,50,40,2.197704e+05
3,50,50,2.197704e+05
3,50,60,2.197704e+05
3,50,70,2.197704e+05
3,50,80,2.197704e+05
3,50,90,2.197704e+05
3,50,100,2.197704e+05
3,50,1,3.315346e+05
3,50,2,3.315345e+05
3,50,3,3.313443e+05
3,50,5,3.313443e+05
3,50,10,3.308521e+05
3,50,20,2.874287e+05
3,50,30,2.856412e+05
3,50,40,2.755837e+05
3,50,50,2.458704e+05
3,50,60,2.458704e+05
3,50,70,1.869934e+05
3,50,80,1.869934e+05
3,50,90,1.869934e+05
3,50,100,1.869934e+05
3,50,1,3.315346e+05
3,50,2,3.315345e+05
3,50,3,3.313443e+05
3,50,5,3.313443e+05
3,50,10,3.308521e+05
3,50,20,3.057595e+05
3,50,30,2.696798e+05
3,50,40,2.566057e+05
3,50,50,2.566057e+05
3,50,60,2.301627e+05
3,50,70,2.166013e+05
3,50,80,2.094542e+05
3,50,90,2.094542e+05
3,50,100,2.094542e+05
