funcid,dim,milestone,error
15,30,1,8.423301e+07
15,30,2,2.444961e+07
15,30,3,2.444961e+07
15,30,5,2.041889e+07
15,30,10,2.041889e+07
15,30,20,7.167193e+06
15,30,30,7.167193e+06
15,30,40,7.167193e+06
15,30,50,7.167193e+06
15,30,60,7.167193e+06
15,30,70,7.167193e+06
15,30,80,7.167193e+06
15,30,90,7.167193e+06
15,30,100,7.167193e+06
15,30,1,1.681038e+08
15,30,2,5.338892e+07
15,30,3,1.740952e+07
15,30,5,1.740952e+07
15,30,10,1.740950e+07
15,30,20,1.740950e+07
15,30,30,1.740950e+07
15,30,40,1.740950e+07
15,30,50,1.482778e+07
15,30,60,1.482778e+07
15,30,70,1.482778e+07
15,30,80,1.482778e+07
15,30,90,1.482778e+07
15,30,100,1.482778e+07
15,30,1,9.280458e+07
15,30,2,8.765655e+07
15,30,3,6.223226e+07
15,30,5,3.205851e+07
15,30,10,2.876057e+07
15,30,20,2.441686e+07
15,30,30,2.134786e+07
15,30,40,5.554649e+06
15,30,50,5.554649e+06
15,30,60,5.554649e+06
15,30,70,5.554649e+06
15,30,80,5.554649e+06
15,30,90,5.554649e+06
15,30,100,5.554649e+06
15,30,1,1.828192e+08
15,30,2,7.480752e+07
15,30,3,3.008616e+07
15,30,5,3.008616e+07
15,30,10,3.008616e+07
15,30,20,1.810746e+07
15,30,30,1.810746e+07
15,30,40,1.031120e+07
15,30,50,1.031120e+07
15,30,60,1.031120e+07
15,30,70,1.031120e+07
15,30,80,1.031120e+07
15,30,90,1.031120e+07
15,30,100,1.031120e+07
15,30,1,9.637916e+07
15,30,2,5.547505e+07
15,30,3,5.547505e+07
15,30,5,1.694007e+07
15,30,10,1.694007e+07
15,30,20,1.389938e+07
15,30,30,1.389938e+07
15,30,40,1.389938e+07
15,30,50,1.007078e+07
15,30,60,1.007078e+07
15,30,70,1.007078e+07
15,30,80,8.856854e+06
15,30,90,8.856854e+06
15,30,100,8.856854e+06
15,30,1,9.452634e+07
15,30,2,9.452632e+07
15,30,3,9.452632e+07
15,30,5,7.569958e+07
15,30,10,2.543896e+07
15,30,20,1.234185e+07
15,30,30,1.973925e+06
15,30,40,1.973925e+06
15,30,50,1.973925e+06
15,30,60,1.973925e+06
15,30,70,1.973925e+06
15,30,80,1.973925e+06
15,30,90,1.973925e+06
15,30,100,1.973925e+06
15,30,1,1.466461e+07
15,30,2,1.397355e+07
15,30,3,1.397355e+07
15,30,5,1.397355e+07
15,30,10,1.397355e+07
15,30,20,1.397355e+07
15,30,30,2.365366e+06
15,30,40,2.365366e+06
15,30,50,2.365366e+06
15,30,60,2.365366e+06
15,30,70,2.365366e+06
15,30,80,2.365366e+06
15,30,90,2.365366e+06
15,30,100,2.365366e+06
15,30,1,1.512211e+08
15,30,2,1.060916e+08
15,30,3,1.060916e+08
15,30,5,3.027830e+07
15,30,10,3.027830e+07
15,30,20,2.203393e+07
15,30,30,1.207250e+07
15,30,40,1.207250e+07
15,30,50,1.207250e+07
15,30,60,1.207250e+07
15,30,70,1.207250e+07
15,30,80,1.207250e+07
15,30,90,1.207250e+07
15,30,100,1.207250e+07
15,30,1,1.123588e+08
15,30,2,5.728081e+07
15,30,3,4.800366e+07
15,30,5,4.800365e+07
15,30,10,4.800360e+07
15,30,20,1.139107e+07
15,30,30,1.139107e+07
15,30,40,1.139107e+07
15,30,50,1.139107e+07
15,30,60,1.139107e+07
15,30,70,9.861581e+06
15,30,80,9.861581e+06
15,30,90,9.861581e+06
15,30,100,9.861581e+06
15,30,1,4.155569e+08
15,30,2,8.586403e+07
15,30,3,6.150149e+07
15,30,5,2.807356e+07
15,30,10,2.807356e+07
15,30,20,5.036032e+06
15,30,30,5.036032e+06
15,30,40,5.036032e+06
15,30,50,5.036032e+06
15,30,60,5.036032e+06
15,30,70,5.036032e+06
15,30,80,5.036032e+06
15,30,90,5.036032e+06
15,30,100,5.036032e+06
