funcid,dim,milestone,error
2,10,1,3.276034e+07
2,10,2,2.019860e+07
2,10,3,1.417957e+07
2,10,5,9.359390e+06
2,10,10,9.352347e+06
2,10,20,9.352347e+06
2,10,30,1.581844e+06
2,10,40,1.581844e+06
2,10,50,1.137080e+05
2,10,60,1.137080e+05
2,10,70,1.137080e+05
2,10,80,1.137080e+05
2,10,90,1.137080e+05
2,10,100,1.137080e+05
2,10,1,3.327931e+06
2,10,2,3.299327e+06
2,10,3,3.299327e+06
2,10,5,3.299327e+06
2,10,10,3.299327e+06
2,10,20,3.299327e+06
2,10,30,3.299327e+06
2,10,40,3.299327e+06
2,10,50,1.699490e+05
2,10,60,1.699490e+05
2,10,70,1.526570e+05
2,10,80,1.526570e+05
2,10,90,1.526570e+05
2,10,100,1.526570e+05
2,10,1,2.309704e+07
2,10,2,8.990640e+05
2,10,3,8.483190e+05
2,10,5,8.155280e+05
2,10,10,8.053630e+05
2,10,20,8.053630e+05
2,10,30,8.173000e+03
2,10,40,8.173000e+03
2,10,50,8.173000e+03
2,10,60,8.173000e+03
2,10,70,8.173000e+03
2,10,80,8.173000e+03
2,10,90,8.173000e+03
2,10,100,8.173000e+03
2,10,1,7.993140e+05
2,10,2,1.536860e+05
2,10,3,5.379000e+04
2,10,5,5.379000e+04
2,10,10,5.379000e+04
2,10,20,5.379000e+04
2,10,30,5.379000e+04
2,10,40,5.379000e+04
2,10,50,5.379000e+04
2,10,60,5.379000e+04
2,10,70,5.379000e+04
2,10,80,5.379000e+04
2,10,90,5.379000e+04
2,10,100,5.379000e+04
2,10,1,8.417135e+07
2,10,2,2.443901e+07
2,10,3,2.443497e+07
2,10,5,2.443497e+07
2,10,10,1.575998e+06
2,10,20,1.575998e+06
2,10,30,1.436840e+05
2,10,40,2.960200e+04
2,10,50,2.960200e+04
2,10,60,2.960200e+04
2,10,70,2.960200e+04
2,10,80,2.960200e+04
2,10,90,2.960200e+04
2,10,100,2.960200e+04
2,10,1,1.544240e+07
2,10,2,1.543584e+07
2,10,3,3.118890e+06
2,10,5,3.118825e+06
2,10,10,3.118825e+06
2,10,20,3.118825e+06
2,10,30,1.501100e+04
2,10,40,1.501100e+04
2,10,50,1.501100e+04
2,10,60,1.501100e+04
2,10,70,1.501100e+04
2,10,80,1.501100e+04
2,10,90,1.501100e+04
2,10,100,1.501100e+04
2,10,1,7.694750e+07
2,10,2,7.232059e+07
2,10,3,7.232059e+07
2,10,5,5.732259e+07
2,10,10,5.732259e+07
2,10,20,1.225550e+05
2,10,30,1.225550e+05
2,10,40,1.225550e+05
2,10,50,1.225550e+05
2,10,60,1.225550e+05
2,10,70,1.225550e+05
2,10,80,1.225550e+05
2,10,90,1.225550e+05
2,10,100,1.225550e+05
2,10,1,3.187820e+08
2,10,2,2.884118e+07
2,10,3,9.026700e+05
2,10,5,8.679300e+05
2,10,10,8.679300e+05
2,10,20,8.679300e+05
2,10,30,7.608550e+05
2,10,40,4.213630e+05
2,10,50,4.213630e+05
2,10,60,4.213630e+05
2,10,70,4.213630e+05
2,10,80,4.213630e+05
2,10,90,4.213630e+05
2,10,100,4.213630e+05
2,10,1,8.308267e+07
2,10,2,2.261453e+07
2,10,3,2.261397e+07
2,10,5,2.008497e+07
2,10,10,2.008497e+07
2,10,20,2.848635e+06
2,10,30,1.005774e+06
2,10,40,2.967940e+05
2,10,50,1.923000e+05
2,10,60,1.923000e+05
2,10,70,1.923000e+05
2,10,80,1.923000e+05
2,10,90,1.534260e+05
2,10,100,1.534260e+05
2,10,1,2.351332e+07
2,10,2,1.503435e+07
2,10,3,3.582256e+06
2,10,5,3.582256e+06
2,10,10,3.582256e+06
2,10,20,1.944501e+06
2,10,30,1.944501e+06
2,10,40,2.304900e+04
2,10,50,2.304900e+04
2,10,60,2.304900e+04
2,10,70,2.304900e+04
2,10,80,2.304900e+04
2,10,90,2.304900e+04
2,10,100,2.304900e+04
