funcid,dim,milestone,error
20,10,1,1.727383e+02
20,10,2,8.587052e+01
20,10,3,7.812882e+01
20,10,5,7.713263e+01
20,10,10,7.713263e+01
20,10,20,5.947411e+01
20,10,30,5.947411e+01
20,10,40,5.241547e+01
20,10,50,5.241547e+01
20,10,60,5.241547e+01
20,10,70,4.786662e+01
20,10,80,4.786662e+01
20,10,90,4.786662e+01
20,10,100,4.786662e+01
20,10,1,5.684816e+01
20,10,2,5.684816e+01
20,10,3,5.684816e+01
20,10,5,5.631320e+01
20,10,10,5.631320e+01
20,10,20,4.436594e+01
20,10,30,3.384493e+01
20,10,40,3.384493e+01
20,10,50,3.384493e+01
20,10,60,3.384493e+01
20,10,70,3.384493e+01
20,10,80,3.384493e+01
20,10,90,3.384493e+01
20,10,100,3.384493e+01
20,10,1,1.489059e+02
20,10,2,8.153218e+01
20,10,3,7.514781e+01
20,10,5,5.092209e+01
20,10,10,5.092209e+01
20,10,20,4.481259e+01
20,10,30,4.481259e+01
20,10,40,4.481259e+01
20,10,50,3.303835e+01
20,10,60,3.303835e+01
20,10,70,3.215264e+01
20,10,80,3.215264e+01
20,10,90,3.215264e+01
20,10,100,3.215264e+01
20,10,1,1.195188e+02
20,10,2,1.195188e+02
20,10,3,1.195188e+02
20,10,5,6.854078e+01
20,10,10,6.854078e+01
20,10,20,4.470781e+01
20,10,30,4.470781e+01
20,10,40,3.870515e+01
20,10,50,3.870515e+01
20,10,60,3.870515e+01
20,10,70,3.870515e+01
20,10,80,3.870515e+01
20,10,90,3.870515e+01
20,10,100,3.870515e+01
20,10,1,9.096748e+01
20,10,2,4.197502e+01
20,10,3,4.197502e+01
20,10,5,4.197502e+01
20,10,10,4.197502e+01
20,10,20,4.197502e+01
20,10,30,4.197502e+01
20,10,40,4.126211e+01
20,10,50,4.126211e+01
20,10,60,4.126211e+01
20,10,70,3.925487e+01
20,10,80,3.925487e+01
20,10,90,3.925487e+01
20,10,100,3.925487e+01
20,10,1,1.607699e+02
20,10,2,1.135328e+02
20,10,3,1.122717e+02
20,10,5,9.471619e+01
20,10,10,8.723017e+01
20,10,20,8.723017e+01
20,10,30,5.733832e+01
20,10,40,5.619124e+01
20,10,50,5.619124e+01
20,10,60,5.619124e+01
20,10,70,4.517868e+01
20,10,80,4.517868e+01
20,10,90,3.668606e+01
20,10,100,3.668606e+01
20,10,1,9.605876e+01
20,10,2,9.359212e+01
20,10,3,9.359212e+01
20,10,5,3.771442e+01
20,10,10,3.771442e+01
20,10,20,3.771442e+01
20,10,30,3.771442e+01
20,10,40,3.771442e+01
20,10,50,3.771442e+01
20,10,60,3.771442e+01
20,10,70,3.771442e+01
20,10,80,3.771442e+01
20,10,90,3.771442e+01
20,10,100,3.771442e+01
20,10,1,1.829890e+02
20,10,2,8.232987e+01
20,10,3,8.097125e+01
20,10,5,7.517780e+01
20,10,10,6.929599e+01
20,10,20,3.808376e+01
20,10,30,3.755586e+01
20,10,40,3.755586e+01
20,10,50,2.174816e+01
20,10,60,2.174816e+01
20,10,70,2.174816e+01
20,10,80,2.174816e+01
20,10,90,2.174816e+01
20,10,100,2.174816e+01
20,10,1,8.431204e+01
20,10,2,8.059644e+01
20,10,3,8.059315e+01
20,10,5,6.677439e+01
20,10,10,6.045497e+01
20,10,20,6.045497e+01
20,10,30,5.870692e+01
20,10,40,4.338887e+01
20,10,50,3.805032e+01
20,10,60,3.805032e+01
20,10,70,3.042758e+01
20,10,80,3.042758e+01
20,10,90,2.712918e+01
20,10,100,2.712918e+01
20,10,1,1.130230e+02
20,10,2,9.802164e+01
20,10,3,7.543025e+01
20,10,5,7.543025e+01
20,10,10,7.543025e+01
20,10,20,4.247586e+01
20,10,30,4.247586e+01
20,10,40,4.247586e+01
20,10,50,4.247586e+01
20,10,60,4.247586e+01
20,10,70,3.548444e+01
20,10,80,3.548444e+01
20,10,90,3.548444e+01
20,10,100,3.548444e+01
